timestamp(ms),RawGyA,SmRrCA,CrntGyASlow,SmGyA,FlGyA,StprPos,mGyA,RawGA,RwGyA,SmRCA,SmyA,awGyA,SmRrC,
"1666701847,452","1,73",,,,,,,,,,,,,
"1666701847,462","1,73",,,,,,,,,,,,,
"1666701847,472","1,73",,,,,,,,,,,,,
"1666701847,482","1,73",,,,,,,,,,,,,
"1666701847,491","1,73",,,,,,,,,,,,,
"1666701847,494",,,"1,73","1,73",,,,,,,,,,
"1666701847,497",,,,,"1,58",,,,,,,,,
"1666701847,502","1,74",,,,,,,,,,,,,
"1666701847,512","1,74",,,,,,,,,,,,,
"1666701847,522","1,73",,,,,,,,,,,,,
"1666701847,532","1,73",,,,,,,,,,,,,
"1666701847,542","1,73",,,,,,,,,,,,,
"1666701847,551","1,73",,,,,,,,,,,,,
"1666701847,554",,,"1,73","1,73",,,,,,,,,,
"1666701847,557",,,,,"1,58",,,,,,,,,
"1666701847,563","1,73",,,,,,,,,,,,,
"1666701847,572","1,73",,,,,,,,,,,,,
"1666701847,583","1,73",,,,,,,,,,,,,
"1666701847,592","1,73",,,,,,,,,,,,,
"1666701847,602","1,73",,,,,,,,,,,,,
"1666701847,611","1,73",,,,,,,,,,,,,
"1666701847,614",,,"1,73","1,73",,,,,,,,,,
"1666701847,617",,,,,"1,59",,,,,,,,,
"1666701847,622","1,73",,,,,,,,,,,,,
"1666701847,632","1,73",,,,,,,,,,,,,
"1666701847,642","1,73",,,,,,,,,,,,,
"1666701847,652","1,73",,,,,,,,,,,,,
"1666701847,662","1,73",,,,,,,,,,,,,
"1666701847,671","1,73",,,,,,,,,,,,,
"1666701847,674",,,"1,73","1,73",,,,,,,,,,
"1666701847,677",,,,,"1,59",,,,,,,,,
"1666701847,686",,,,,,"4,55",,,,,,,,
"1666701847,694","1,73",,,,,,,,,,,,,
"1666701847,697","1,73",,,,,,,,,,,,,
"1666701847,712","1,73",,,,,,,,,,,,,
"1666701847,722","1,73",,,,,,,,,,,,,
"1666701847,732","1,73",,,,,,,,,,,,,
"1666701847,741","1,73",,,,,,,,,,,,,
"1666701847,744",,,"1,73","1,73",,,,,,,,,,
"1666701847,747",,,,,"1,6",,,,,,,,,
"1666701847,752","1,73",,,,,,,,,,,,,
"1666701847,762","1,73",,,,,,,,,,,,,
"1666701847,772","1,73",,,,,,,,,,,,,
"1666701847,782","1,73",,,,,,,,,,,,,
"1666701847,792","1,74",,,,,,,,,,,,,
"1666701847,801","1,74",,,,,,,,,,,,,
"1666701847,804",,,"1,74",,,,"1,73",,,,,,,
"1666701847,807",,,,,"1,6",,,,,,,,,
"1666701847,812","1,74",,,,,,,,,,,,,
"1666701847,822",,,,,,,,"1,74",,,,,,
"1666701847,832","1,74",,,,,,,,,,,,,
"1666701847,842","1,73",,,,,,,,,,,,,
"1666701847,852","1,73",,,,,,,,,,,,,
"1666701847,861","1,73",,,,,,,,,,,,,
"1666701847,863",,,"1,73","1,73",,,,,,,,,,
"1666701847,867",,,,,"1,61",,,,,,,,,
"1666701847,872","1,73",,,,,,,,,,,,,
"1666701847,882","1,73",,,,,,,,,,,,,
"1666701847,892",,,,,,,,,"1,73",,,,,
"1666701847,902","1,73",,,,,,,,,,,,,
"1666701847,912","1,73",,,,,,,,,,,,,
"1666701847,921","1,73",,,,,,,,,,,,,
"1666701847,923",,,"1,73","1,73",,,,,,,,,,
"1666701847,927",,,,,"1,61",,,,,,,,,
"1666701847,932","1,73",,,,,,,,,,,,,
"1666701847,942","1,73",,,,,,,,,,,,,
"1666701847,952","1,73",,,,,,,,,,,,,
"1666701847,962","1,73",,,,,,,,,,,,,
"1666701847,972","1,73",,,,,,,,,,,,,
"1666701847,981","1,73",,,,,,,,,,,,,
"1666701847,984",,,"1,73","1,73",,,,,,,,,,
"1666701847,987",,,,,"1,61",,,,,,,,,
"1666701847,992","1,73",,,,,,,,,,,,,
"1666701848,002","1,74",,,,,,,,,,,,,
"1666701848,012","1,74",,,,,,,,,,,,,
"1666701848,022","1,74",,,,,,,,,,,,,
"1666701848,032","1,74",,,,,,,,,,,,,
"1666701848,041","1,74",,,,,,,,,,,,,
"1666701848,044",,,"1,74","1,73",,,,,,,,,,
"1666701848,047",,,,,"1,62",,,,,,,,,
"1666701848,052","1,74",,,,,,,,,,,,,
"1666701848,062","1,74",,,,,,,,,,,,,
"1666701848,072","1,74",,,,,,,,,,,,,
"1666701848,082","1,74",,,,,,,,,,,,,
"1666701848,092","1,74",,,,,,,,,,,,,
"1666701848,101","1,73",,,,,,,,,,,,,
"1666701848,103",,,"1,73",,,,,,,,,,,
"1666701848,104",,,,"1,73",,,,,,,,,,
"1666701848,107",,,,,"1,62",,,,,,,,,
"1666701848,112","1,73",,,,,,,,,,,,,
"1666701848,122","1,74",,,,,,,,,,,,,
"1666701848,132","1,74",,,,,,,,,,,,,
"1666701848,142","1,74",,,,,,,,,,,,,
"1666701848,152","1,74",,,,,,,,,,,,,
"1666701848,161","1,74",,,,,,,,,,,,,
"1666701848,164",,,"1,74","1,73",,,,,,,,,,
"1666701848,167",,,,,"1,62",,,,,,,,,
"1666701848,172","1,74",,,,,,,,,,,,,
"1666701848,182","1,74",,,,,,,,,,,,,
"1666701848,192","1,74",,,,,,,,,,,,,
"1666701848,202","1,74",,,,,,,,,,,,,
"1666701848,212","1,74",,,,,,,,,,,,,
"1666701848,221","1,74",,,,,,,,,,,,,
"1666701848,223",,,"1,74","1,73",,,,,,,,,,
"1666701848,227",,,,,"1,63",,,,,,,,,
"1666701848,234",,,,,,"4,5",,,,,,,,
"1666701848,242","1,74",,,,,,,,,,,,,
"1666701848,252","1,74",,,,,,,,,,,,,
"1666701848,262","1,74",,,,,,,,,,,,,
"1666701848,272","1,73",,,,,,,,,,,,,
"1666701848,282","1,73",,,,,,,,,,,,,
"1666701848,291","1,73",,,,,,,,,,,,,
"1666701848,293",,,"1,73","1,73",,,,,,,,,,
"1666701848,297",,,,,"1,63",,,,,,,,,
"1666701848,302","1,74",,,,,,,,,,,,,
"1666701848,312","1,74",,,,,,,,,,,,,
"1666701848,322","1,74",,,,,,,,,,,,,
"1666701848,332","1,74",,,,,,,,,,,,,
"1666701848,342","1,74",,,,,,,,,,,,,
"1666701848,351","1,74",,,,,,,,,,,,,
"1666701848,353",,,"1,74","1,73",,,,,,,,,,
"1666701848,357",,,,,"1,63",,,,,,,,,
"1666701848,362","1,74",,,,,,,,,,,,,
"1666701848,372","1,74",,,,,,,,,,,,,
"1666701848,382","1,74",,,,,,,,,,,,,
"1666701848,392","1,74",,,,,,,,,,,,,
"1666701848,402","1,74",,,,,,,,,,,,,
"1666701848,411","1,74",,,,,,,,,,,,,
"1666701848,413",,,"1,74","1,74",,,,,,,,,,
"1666701848,417",,,,,"1,64",,,,,,,,,
"1666701848,422","1,74",,,,,,,,,,,,,
"1666701848,432","1,73",,,,,,,,,,,,,
"1666701848,442","1,73",,,,,,,,,,,,,
"1666701848,452","1,73",,,,,,,,,,,,,
"1666701848,462","1,73",,,,,,,,,,,,,
"1666701848,471","1,74",,,,,,,,,,,,,
"1666701848,473",,,,"1,73",,,,,,,,,,
"1666701848,477",,,,,"1,64",,,,,,,,,
"1666701848,482","1,74",,,,,,,,,,,,,
"1666701848,492","1,74",,,,,,,,,,,,,
"1666701848,502","1,74",,,,,,,,,,,,,
"1666701848,512","1,74",,,,,,,,,,,,,
"1666701848,522",,,,,,,,"1,74",,,,,,
"1666701848,531","1,74","6,24",,,,,,,,,,,,
"1666701848,533",,,"1,74","1,74",,,,,,,,,,
"1666701848,537",,,,,"1,64",,,,,,,,,
"1666701848,542","1,73",,,,,,,,,,,,,
"1666701848,552","1,73",,,,,,,,,,,,,
"1666701848,562","1,73",,,,,,,,,,,,,
"1666701848,572","1,73",,,,,,,,,,,,,
"1666701848,582","1,73",,,,,,,,,,,,,
"1666701848,59","1,73",,,,,,,,,,,,,
"1666701848,591",,"6,24",,,,,,,,,,,,
"1666701848,593",,,"1,73","1,74",,,,,,,,,,
"1666701848,597",,,,,"1,64",,,,,,,,,
"1666701848,602","1,73",,,,,,,,,,,,,
"1666701848,612","1,73",,,,,,,,,,,,,
"1666701848,622","1,73",,,,,,,,,,,,,
"1666701848,632","1,74",,,,,,,,,,,,,
"1666701848,642","1,74",,,,,,,,,,,,,
"1666701848,65","1,74",,,,,,,,,,,,,
"1666701848,651",,"6,24",,,,,,,,,,,,
"1666701848,653",,,"1,74","1,74",,,,,,,,,,
"1666701848,657",,,,,"1,65",,,,,,,,,
"1666701848,662","0,74",,,,,,,,,,,,,
"1666701848,672","1,74",,,,,,,,,,,,,
"1666701848,681","1,73",,,,,,,,,,,,,
"1666701848,692","1,73",,,,,,,,,,,,,
"1666701848,702","1,73",,,,,,,,,,,,,
"1666701848,711","1,73","6,24",,,,,,,,,,,,
"1666701848,713",,,"1,73","1,74",,,,,,,,,,
"1666701848,716",,,,,"1,65",,,,,,,,,
"1666701848,721","1,73",,,,,,,,,,,,,
"1666701848,732","1,73",,,,,,,,,,,,,
"1666701848,741","1,73",,,,,,,,,,,,,
"1666701848,752","1,73",,,,,,,,,,,,,
