timestamp(ms),StprPos,RawGyA,SmRrCA,CrntGyASlow,SmGyA,FlGyA,CrntGyASlw,RawyA,CrnGyASlow,RwGyA,awGyA,RaGyA,mGyA,RawGA,RawGy,CrntyASlow,CrntGyASlo,mRrCA,FGyA,CrntGyAlow,SmRrA,SmRCA,StprPo,CrtGyASlow,CntGyASlow,Stpros,FlGA,SRrCA,rntGyASlow,SmrCA,CrntGASlow,SmyA,FlyA,CrntGySlow,SmRrC,SGyA,CrntGyASow,SmGA,SmGy,FlGy,
"1666957499,009",,,,,,,,,,,,,"3,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666957501,486",,,,,,,,,,,,,,,,,,"5,77",,,,,,,,,,,,,,,,,,,,,,,
"1666957501,609",,,,,,,"3,66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666957502,151",,,,,,,,,,,,,,,,,,,"3,45",,,,,,,,,,,,,,,,,,,,,,
"1666957502,396",,,,,,,,,,,,,,,,,,,,,"5,77",,,,,,,,,,,,,,,,,,,,
"1666957502,775",,,,,,,,,,,,,,,,,,,,,"5,77",,,,,,,,,,,,,,,,,,,,
"1666957502,841",,,,,,,,,,,,,,,,,,,"3,44",,,,,,,,,,,,,,,,,,,,,,
"1666957504,027",,,,,,,,,,,,,"2,74",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666957505,577",,,,,,,,,,,,,,,,,,,,,,,,"1,57",,,,,,,,,,,,,,,,,
"1666957506,057",,,,,,,,,,,,,,,,,,,,,,,,,"1,31",,,,,,,,,,,,,,,,
"1666957506,073",,,,,,,,,,,,,,,,,,,,,,,,,,"6,83",,,,,,,,,,,,,,,
"1666957506,665",,,,,,,,,,,,,,,,,,,,,,,,,,"7,37",,,,,,,,,,,,,,,
"1666957507,404",,,,,,,,,,,,,,,,,,,,,"5,71",,,,,,,,,,,,,,,,,,,,
"1666957509,847",,,,,,,,,,,,,,,,,,,,,,,,,,"10,24",,,,,,,,,,,,,,,
"1666957580,829",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,02",,,,,,,,,,
"1666957580,989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,03",,,,,,,,,
"1666957581,916",,,,,,,,,,,,,,,,,,,,,,"5,88",,,,,,,,,,,,,,,,,,,
"1666957582,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,99",,,,,,,,
"1666957582,418",,,,,,,,,,,,,,,,,"3,17",,,,,,,,,,,,,,,,,,,,,,,,
"1666957582,842",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,83",,,,,,,,
"1666957582,908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,43",,,,,,,
"1666957584,025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,84",,,,,,
"1666957584,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,12",,,,,,,,,
"1666957584,888",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,95",,,,,
"1666957586,107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,03",,,,,,,,,,,,
"1666957586,317",,,,,,,,,,,,,,,,"3,88",,,,,,,,,,,,,,,,,,,,,,,,,
"1666957586,567",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,04",,,,,,,,,,,,
"1666957586,777",,,,,,,,,,,,,,,,"4,19",,,,,,,,,,,,,,,,,,,,,,,,,
"1666957587,287",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,54",,,,,,,,,,
"1666957588,017",,,,,,,,,,,,,,,,,"4,71",,,,,,,,,,,,,,,,,,,,,,,,
"1666957588,077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,79",,,,,,,
"1666957588,617",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,05",,,,
"1666957705,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,89",,,
